region_id,name,type,parent_region_id,population
REG_DELHI,Delhi,state,,
REG_SHAHDARA_NORTH,Shahdara North Zone,zone,REG_DELHI,
REG_SHAHDARA_SOUTH,Shahdara South Zone,zone,REG_DELHI,
REG_W1,DMC Ward No - 1,ward,REG_SHAHDARA_NORTH,55512
REG_W2,DMC Ward No - 2,ward,REG_SHAHDARA_NORTH,37929
REG_W9,DMC Ward No - 9,ward,REG_SHAHDARA_NORTH,60531
REG_W10,DMC Ward No - 10,ward,REG_SHAHDARA_NORTH,70476
REG_W11,DMC Ward No - 11,ward,REG_SHAHDARA_NORTH,38211
REG_W12,DMC Ward No - 12,ward,REG_SHAHDARA_NORTH,41703
REG_W13,DMC Ward No - 13,ward,REG_SHAHDARA_NORTH,46578
REG_W14,DMC Ward No - 14,ward,REG_SHAHDARA_NORTH,50721
REG_W15,DMC Ward No - 15,ward,REG_SHAHDARA_NORTH,4839
REG_W16,DMC Ward No - 16,ward,REG_SHAHDARA_NORTH,47002
REG_W17,DMC Ward No - 17,ward,REG_SHAHDARA_NORTH,55747
REG_W21,DMC Ward No - 21,ward,REG_SHAHDARA_NORTH,66482
REG_W22,DMC Ward No - 22,ward,REG_SHAHDARA_NORTH,52541
REG_W23,DMC Ward No - 23,ward,REG_SHAHDARA_NORTH,94843
REG_W24,DMC Ward No - 24,ward,REG_SHAHDARA_NORTH,77614
REG_W26,DMC Ward No - 26,ward,REG_SHAHDARA_NORTH,5993
REG_W38,DMC Ward No - 38,ward,REG_SHAHDARA_NORTH,41674
REG_W41,DMC Ward No - 41,ward,REG_SHAHDARA_NORTH,51975
REG_W42,DMC Ward No - 42,ward,REG_SHAHDARA_NORTH,44150
REG_W45,DMC Ward No - 45,ward,REG_SHAHDARA_NORTH,62796
REG_W46,DMC Ward No - 46,ward,REG_SHAHDARA_NORTH,60882
REG_W47,DMC Ward No - 47,ward,REG_SHAHDARA_NORTH,55177
REG_W48,DMC Ward No - 48,ward,REG_SHAHDARA_NORTH,45206
REG_W49,DMC Ward No - 49,ward,REG_SHAHDARA_NORTH,39841
REG_W50,DMC Ward No - 50,ward,REG_SHAHDARA_NORTH,58558
REG_W51,DMC Ward No - 51,ward,REG_SHAHDARA_NORTH,48118
REG_W52,DMC Ward No - 52,ward,REG_SHAHDARA_NORTH,49787
REG_W53,DMC Ward No - 53,ward,REG_SHAHDARA_NORTH,51528
REG_W54,DMC Ward No - 54,ward,REG_SHAHDARA_NORTH,56149
REG_W55,DMC Ward No - 55,ward,REG_SHAHDARA_NORTH,59383
REG_W56,DMC Ward No - 56,ward,REG_SHAHDARA_NORTH,25529
REG_W57,DMC Ward No - 57,ward,REG_SHAHDARA_NORTH,55273
REG_W58,DMC Ward No - 58,ward,REG_SHAHDARA_NORTH,42423
REG_W59,DMC Ward No - 59,ward,REG_SHAHDARA_NORTH,10377
